imdb_id,inf_dist_summary
tt0442933,1.0
tt3093522,1.0
tt0120660,1.0
tt0317740,1.0
tt1221208,1.0
tt0441774,1.0
tt5580390,1.0
tt0233277,1.0
tt0395786,1.0
tt2277860,1.0
tt0062622,1.0
tt6687748,1.0
tt0420609,1.0
tt5390066,1.0
tt2084953,1.0
tt3254796,1.0
tt4078252,1.0
tt0053285,1.0
tt1195478,1.0
tt2381111,1.0
tt3263614,1.0
tt0401445,1.0
tt4181052,1.0
tt2247692,1.0
tt0327698,1.0
tt0119215,1.0
tt0264395,1.0
tt0110912,1.0
tt0303714,1.0
tt4019560,1.0
tt1922679,1.0
tt0104231,1.0
tt7608418,1.0
tt0086383,1.0
tt0372183,1.0
tt1070858,1.0
tt3411444,1.0
tt0080549,1.0
tt0489270,1.0
tt2081374,1.0
tt2199571,1.0
tt3635852,1.0
tt1742336,1.0
tt3766354,1.0
tt0288045,1.0
tt7153134,1.0
tt0473444,1.0
tt1251735,1.0
tt1810633,1.0
tt1179933,1.0
tt0160644,1.0
tt8201170,1.0
tt1995341,1.0
tt6708116,1.0
tt0110099,1.0
tt0116365,1.0
tt5523010,1.0
tt1334512,1.0
tt2062966,1.0
tt1130964,1.0
tt1322312,1.0
tt0164108,1.0
tt3486626,1.0
tt1153706,1.0
tt3896100,1.0
tt1298649,1.0
tt2362991,1.0
tt0256276,1.0
tt9100028,1.0
tt1640714,1.0
tt2943974,1.0
tt0366551,1.0
tt0091738,1.0
tt2186566,1.0
tt2274570,1.0
tt0483726,1.0
tt7942742,1.0
tt3983674,1.0
tt7969042,1.0
tt2125666,1.0
tt0080487,1.0
tt7594584,1.0
tt0119137,1.0
tt2141739,1.0
tt3631284,1.0
tt1073241,1.0
tt1226229,1.0
tt4669186,1.0
tt0808331,1.0
tt0098674,1.0
tt1490785,1.0
tt0329717,1.0
tt1709143,1.0
tt0069049,1.0
tt6214928,1.0
tt2587914,1.0
tt3544112,1.0
tt6952960,1.0
tt0189070,1.0
tt1103273,1.0
tt0878814,1.0
tt1727824,1.0
tt1758692,1.0
tt0083530,1.0
tt0277895,1.0
tt2582500,1.0
tt1206543,1.0
tt5507860,1.0
tt3702088,1.0
tt0388419,1.0
tt0320661,1.0
tt0242445,1.0
tt0924129,1.0
tt3270538,1.0
tt0114887,1.0
tt1295036,1.0
tt1845866,1.0
tt0446687,1.0
tt1869716,1.0
tt0097050,1.0
tt0110478,1.0
tt4721404,1.0
tt1629757,1.0
tt0422720,1.0
tt1699746,1.0
